auctionDate,securityType,tenor,maturityDate,totalSubscription,totalSuccessful,rangeBid,successfulBidRates,rate,trueYield,amtOffered,netValue
03/11/2026,NTB,91DAY,11/06/2026,131116.7360,130741.3200,15.0000 - 16.9500,15.0000 - 15.9500,15.9500,0.0000,100000.0000,130741.3200
03/11/2026,NTB,182DAY,10/09/2026,82336.6270,71368.7200,15.0000 - 19.0000,15.0000 - 16.6500,16.6500,0.0000,150000.0000,71368.7200
03/11/2026,NTB,364DAY,11/03/2026,2567181.2910,731811.4930,15.5000 - 21.0000,15.5000 - 16.7200,16.7200,0.0000,600000.0000,731811.4930
06/05/2026,NTB,91DAY,06/08/2026,71232.7770,63579.9700,15.3500 - 17.5000,15.3500 - 15.9490,15.9490,0.0000,100000.0000,63579.9700
06/05/2026,NTB,182DAY,05/11/2026,105333.6900,67677.3430,15.4000 - 18.0000,15.4000 - 16.1400,16.1400,0.0000,50000.0000,67677.3430
06/05/2026,NTB,364DAY,06/05/2027,2234901.2000,600493.4130,15.5000 - 20.0000,15.5000 - 16.1500,16.1500,0.0000,550000.0000,600493.4130
22/04/2026,NTB,91DAY,23/07/2026,72731.9140,64480.9120,15.0000 - 16.1400,15.0000 - 15.9500,15.9500,0.0000,100000.0000,64480.9120
22/04/2026,NTB,182DAY,22/10/2026,172081.0030,76235.3710,15.3000 - 17.0000,15.3000 - 16.1900,16.1900,0.0000,100000.0000,76235.3710
22/04/2026,NTB,364DAY,22/04/2027,2119119.2190,753447.5720,15.0000 - 19.4200,15.0000 - 16.1990,16.1990,0.0000,550000.0000,753447.5720
08/04/2026,NTB,91DAY,09/07/2026,96777.7980,94823.2970,15.0000 -18.0000,15.0000 -15.9500,15.9500,0.0000,100000.0000,94823.2970
08/04/2026,NTB,182DAY,08/10/2026,227940.3120,87049.7950,15.0000 - 17.0000,15.0000 - 16.1900,16.1900,0.0000,100000.0000,87049.7950
08/04/2026,NTB,364DAY,08/04/2027,2632745.5130,549504.4100,15.0000 - 20.0000,15.0000 - 16.1990,16.1990,0.0000,500000.0000,549504.4100
25/03/2026,NTB,91DAY,25/06/2026,98712.4140,97752.4140,15.3000 - 16.6000,15.3000 - 15.9500,15.9500,0.0000,100000.0000,97752.4140
25/03/2026,NTB,182DAY,24/09/2026,66582.9650,28044.7710,16.0000 - 16.6800,16.0000 - 16.4200,16.4200,0.0000,100000.0000,28044.7710
18/03/2026,NTB,91DAY,18/06/2026,102188.6410,101288.6400,15.0000 - 16.9500,15.0000 - 15.9500,15.9500,0.0000,100000.0000,101288.6400
18/03/2026,NTB,182DAY,17/09/2026,66989.0800,47938.0790,15.0000 - 19.0000,15.0000 - 16.6200,16.6200,0.0000,150000.0000,47938.0790
18/03/2026,NTB,364DAY,18/03/2027,2893473.9430,542638.1000,15.5000 - 21.0000,15.5000 - 16.6300,16.6300,0.0000,800000.0000,542638.1000
04/03/2026,NTB,91DAY,04/06/2026,80923.8560,64269.8540,14.8000 - 18.0000,14.800 - 15.9500,15.9500,0.0000,100000.0000,64269.8540
04/03/2026,NTB,182DAY,03/09/2026,136539.8240,91434.5230,15.0000 -18.8000,15.0000 - 16.6500,16.6500,0.0000,150000.0000,91434.5230
04/03/2026,NTB,364DAY,04/03/2027,2126819.3070,856034.5120,15.0000 - 22.0000,15.0000 - 16.7300,16.7300,0.0000,80000.0000,856034.5120
04/02/2026,NTB,91DAY,07/05/2026,66050.8460,63213.8460,14.5000 - 20.0000,14.5000 - 15.8400,15.8400,0.0000,150000.0000,63213.8460
04/02/2026,NTB,182DAY,06/08/2026,123407.7080,80609.7070,15.6000 - 20.0300,15.6000 - 16.6500,16.6500,0.0000,200000.0000,80609.7070
04/02/2026,NTB,364DAY,04/02/2027,4396832.6750,808784.1090,16.0000 - 21.0000,16.0000 - 16.9870,16.9870,0.0000,800000.0000,808784.1090
07/01/2026,NTB,91DAY,09/04/2026,112263.0000,108107.0000,15.0000 - 16.0000,15.0000 - 15.8000,15.8000,0.0000,150000.0000,108107.0000
07/01/2026,NTB,182DAY,09/07/2026,49910.1110,48230.1110,15.8500 - 17.2500,15.8500 - 16.5000,16.5000,0.0000,200000.0000,48230.1110
07/01/2026,NTB,364DAY,07/01/2027,1380775.8700,987784.8700,16.4200 - 21.0000,16.4200 - 18.4700,18.4700,0.0000,800000.0000,987784.8700
17/12/2025,NTB,91DAY,19/03/2026,100626.4630,100013.9630,14.8500 - 17.0000,14.8500 - 15.5000,15.5000,0.0000,100000.0000,100013.9630
17/12/2025,NTB,182DAY,18/06/2026,22657.5860,22067.5860,15.0000 - 16.4000,15.0000 - 15.9500,15.9500,0.0000,100000.0000,22067.5860
17/12/2025,NTB,364DAY,17/12/2026,1385758.6910,581994.9280,15.4600 - 20.3300,15.4600 - 17.5100,17.5100,0.0000,500000.0000,581994.9280
10/12/2025,NTB,91DAY,12/03/2026,106069.2410,103358.7410,14.5000 - 16.0000,14.5000 - 15.3000,15.3000,0.0000,100000.0000,103358.7410
10/12/2025,NTB,182DAY,11/06/2026,23596.9440,13636.0440,15.0000 - 19.8100,15.0000 - 15.5000,15.5000,0.0000,150000.0000,13636.0440
10/12/2025,NTB,364DAY,10/12/2026,1559562.1620,671203.2440,15.2900 - 22.0000,15.2900 - 17.9500,17.9500,0.0000,500000.0000,671203.2440
