auction_date,tenor_days,lag1_stop,lag2_stop,lag3_stop,offer_amt,prev_offer,prev_bid_cover,sec_rate,sec_rate_5d_ago,system_liquidity,mpr,inflation,actual_stop_rate,source
2025-07-11,91,22.25,22.10,21.90,150.0,150.0,2.15,22.45,22.30,1850.0,26.25,33.95,22.35,historical
2025-07-11,182,22.50,22.35,22.15,200.0,200.0,1.95,23.10,22.90,1850.0,26.25,33.95,22.65,historical
2025-07-11,364,22.90,22.75,22.55,500.0,500.0,3.20,24.20,24.00,1850.0,26.25,33.95,23.10,historical
2025-07-25,91,22.35,22.25,22.10,150.0,150.0,2.20,22.55,22.45,1920.0,26.25,32.15,22.40,historical
2025-07-25,182,22.65,22.50,22.35,200.0,200.0,2.00,23.20,23.10,1920.0,26.25,32.15,22.70,historical
2025-07-25,364,23.10,22.90,22.75,500.0,500.0,3.10,24.30,24.20,1920.0,26.25,32.15,23.20,historical
2025-08-08,91,22.40,22.35,22.25,150.0,150.0,2.18,22.60,22.55,2100.0,26.25,32.15,22.45,historical
2025-08-08,182,22.70,22.65,22.50,200.0,200.0,1.98,23.25,23.20,2100.0,26.25,32.15,22.75,historical
2025-08-08,364,23.20,23.10,22.90,500.0,500.0,3.15,24.40,24.30,2100.0,26.25,32.15,23.25,historical
2025-08-22,91,22.45,22.40,22.35,150.0,150.0,2.22,22.65,22.60,2050.0,26.25,24.48,22.50,historical
2025-08-22,182,22.75,22.70,22.65,200.0,200.0,2.05,23.30,23.25,2050.0,26.25,24.48,22.80,historical
2025-08-22,364,23.25,23.20,23.10,500.0,500.0,3.18,24.45,24.40,2050.0,26.25,24.48,23.30,historical
2025-09-05,91,22.50,22.45,22.40,150.0,150.0,2.25,22.70,22.65,2200.0,26.25,24.48,22.55,historical
2025-09-05,182,22.80,22.75,22.70,200.0,200.0,2.10,23.35,23.30,2200.0,26.25,24.48,22.85,historical
2025-09-05,364,23.30,23.25,23.20,500.0,500.0,3.20,24.50,24.45,2200.0,26.25,24.48,23.35,historical
