auction_date,tenor_days,lag1_stop,lag2_stop,lag3_stop,offer_amt,prev_offer,prev_bid_cover,sec_rate,sec_rate_5d_ago,system_liquidity,mpr,inflation,actual_stop_rate,source
2020-01-02,91,4.0,5.0,6.495,10000.0,2000.0,12.3584,4.0,5.0,500.0,13.5,12.13,3.5,cbn_primary_market
2020-01-02,182,5.0,6.19,7.23,20000.0,2000.0,9.3408,5.05,6.24,500.0,13.5,12.13,4.9,cbn_primary_market
2020-01-02,364,5.495,6.88,8.37,44837.72,3000.0,18.8717,5.645,7.03,500.0,13.5,12.13,5.2,cbn_primary_market
2020-01-15,364,5.2,5.495,6.88,193000.0,44837.72,2.3619,5.35,5.645,500.0,13.5,12.13,5.09,cbn_primary_market
2020-01-15,91,3.5,4.0,5.0,5849.03,10000.0,3.7151,3.5,4.0,500.0,13.5,12.13,2.95,cbn_primary_market
2020-01-15,182,4.9,5.0,6.19,26600.0,20000.0,1.5816,4.95,5.05,500.0,13.5,12.13,3.95,cbn_primary_market
2020-01-29,182,3.95,4.9,5.0,33684.52,26600.0,3.3056,4.0,4.95,500.0,13.5,12.13,4.5,cbn_primary_market
2020-01-29,91,2.95,3.5,4.0,28018.96,5849.03,8.9248,2.95,3.5,500.0,13.5,12.13,3.5,cbn_primary_market
2020-01-29,364,5.09,5.2,5.495,167932.67,193000.0,1.4379,5.24,5.35,500.0,13.5,12.13,6.5,cbn_primary_market
2020-02-12,182,4.5,3.95,4.9,10000.0,33684.52,1.7154,4.55,4.0,500.0,13.5,12.13,4.0,cbn_primary_market
2020-02-12,364,6.5,5.09,5.2,140000.0,167932.67,0.9093,6.65,5.24,500.0,13.5,12.13,6.5432,cbn_primary_market
2020-02-12,91,3.5,2.95,3.5,4384.18,28018.96,1.8977,3.5,2.95,500.0,13.5,12.13,3.0,cbn_primary_market
2020-02-26,91,3.0,3.5,2.95,20372.79,4384.18,6.8033,3.0,3.5,500.0,13.5,12.13,3.0,cbn_primary_market
2020-02-26,364,6.5432,6.5,5.09,51995.03,140000.0,1.4677,6.6932,6.65,500.0,13.5,12.13,5.7,cbn_primary_market
2020-02-26,182,4.0,4.5,3.95,31751.85,10000.0,5.2498,4.05,4.55,500.0,13.5,12.13,4.0,cbn_primary_market
2020-03-11,91,3.0,3.0,3.5,1800.0,20372.79,2.0253,3.0,3.0,500.0,13.5,12.13,2.49,cbn_primary_market
2020-03-11,364,5.7,6.5432,6.5,70501.22,51995.03,3.3673,5.85,6.6932,500.0,13.5,12.13,5.3,cbn_primary_market
2020-03-11,182,4.0,4.0,4.5,14002.52,31751.85,1.4231,4.05,4.05,500.0,13.5,12.13,3.78,cbn_primary_market
2020-03-18,91,2.49,3.0,3.0,2000.0,1800.0,13.2073,2.49,3.0,500.0,13.5,12.13,2.3,cbn_primary_market
2020-03-18,182,3.78,4.0,4.0,8385.2,14002.52,2.1038,3.83,4.05,500.0,13.5,12.13,3.4,cbn_primary_market
2020-03-18,364,5.3,5.7,6.5432,37176.06,70501.22,2.6983,5.45,5.85,500.0,13.5,12.13,4.6,cbn_primary_market
2020-04-01,91,2.3,2.49,3.0,10000.0,2000.0,4.4736,2.3,2.49,500.0,13.5,12.26,2.2,cbn_primary_market
2020-04-01,182,3.4,3.78,4.0,17600.58,8385.2,3.2624,3.45,3.83,500.0,13.5,12.26,3.2,cbn_primary_market
2020-04-01,364,4.6,5.3,5.7,68080.46,37176.06,2.4846,4.75,5.45,500.0,13.5,12.26,4.3,cbn_primary_market
2020-04-15,364,4.3,4.6,5.3,49141.3,68080.46,1.643,4.45,4.75,500.0,13.5,12.26,4.0,cbn_primary_market
2020-04-15,182,3.2,3.4,3.78,3500.0,17600.58,1.6374,3.25,3.45,500.0,13.5,12.26,2.74,cbn_primary_market
2020-04-15,91,2.2,2.3,2.49,5849.03,10000.0,2.0707,2.2,2.3,500.0,13.5,12.26,1.93,cbn_primary_market
2020-04-29,182,2.74,3.2,3.4,10615.4,3500.0,3.5874,2.79,3.25,500.0,13.5,12.26,2.499,cbn_primary_market
2020-04-29,91,1.93,2.2,2.3,49839.65,5849.03,2.2402,1.93,2.2,500.0,13.5,12.26,1.85,cbn_primary_market
2020-04-29,364,4.0,4.3,4.6,71074.82,49141.3,2.2259,4.15,4.45,500.0,13.5,12.26,3.84,cbn_primary_market
2020-05-13,91,1.85,1.93,2.2,4384.18,49839.65,1.8366,1.85,1.93,500.0,13.5,12.26,2.5,cbn_primary_market
2020-05-13,182,2.499,2.74,3.2,12920.9,10615.4,2.6082,2.549,2.79,500.0,13.5,12.26,2.85,cbn_primary_market
2020-05-13,364,3.84,4.0,4.3,16536.72,71074.82,2.0962,3.99,4.15,500.0,13.5,12.26,3.84,cbn_primary_market
2020-05-27,182,2.85,2.499,2.74,19157.66,12920.9,3.1882,2.9,2.549,500.0,13.5,12.26,2.72,cbn_primary_market
2020-05-27,91,2.5,1.85,1.93,20372.79,4384.18,5.0944,2.5,1.85,500.0,13.5,12.26,2.45,cbn_primary_market
2020-05-27,364,3.84,3.84,4.0,19842.35,16536.72,6.1699,3.99,3.99,500.0,13.5,12.26,4.0199,cbn_primary_market
2020-06-10,364,4.0199,3.84,3.84,84640.72,19842.35,1.9125,4.1699,3.99,500.0,12.5,12.26,4.02,cbn_primary_market
2020-06-10,182,2.72,2.85,2.499,4500.0,19157.66,2.8785,2.77,2.9,500.0,12.5,12.26,2.2,cbn_primary_market
2020-06-10,91,2.45,2.5,1.85,1800.0,20372.79,1.8386,2.45,2.5,500.0,12.5,12.26,2.0,cbn_primary_market
2020-06-17,91,2.0,2.45,2.5,2000.0,1800.0,12.0458,2.0,2.45,500.0,12.5,12.26,1.8,cbn_primary_market
2020-06-17,182,2.2,2.72,2.85,2000.0,4500.0,8.9523,2.25,2.77,500.0,12.5,12.26,2.04,cbn_primary_market
2020-06-17,364,4.02,4.0199,3.84,10614.1,84640.72,1.3583,4.17,4.1699,500.0,12.5,12.26,3.746,cbn_primary_market
2020-07-01,182,2.04,2.2,2.72,20000.0,2000.0,7.6175,2.09,2.25,500.0,12.5,12.82,1.91,cbn_primary_market
2020-07-01,91,1.8,2.0,2.45,10000.0,2000.0,6.7953,1.8,2.0,500.0,12.5,12.82,1.789,cbn_primary_market
2020-07-01,364,3.746,4.02,4.0199,58857.01,10614.1,5.6701,3.896,4.17,500.0,12.5,12.82,3.39,cbn_primary_market
2020-07-29,364,3.39,3.746,4.02,161522.57,58857.01,4.1946,3.54,3.896,500.0,12.5,12.82,3.4,cbn_primary_market
2020-07-29,182,1.91,2.04,2.2,54592.58,20000.0,2.9411,1.96,2.09,500.0,12.5,12.82,1.5,cbn_primary_market
2020-07-29,91,1.789,1.8,2.0,49839.65,10000.0,2.9984,1.789,1.8,500.0,12.5,12.82,1.2,cbn_primary_market
2020-08-12,91,1.2,1.789,1.8,19783.59,49839.65,1.8938,1.2,1.789,500.0,12.5,12.82,1.2,cbn_primary_market
2020-08-12,364,3.4,3.39,3.746,27000.0,161522.57,1.3317,3.55,3.54,500.0,12.5,12.82,3.1999,cbn_primary_market
2020-08-26,91,1.2,1.2,1.789,20372.79,19783.59,1.5471,1.2,1.2,500.0,12.5,12.82,1.145,cbn_primary_market
2020-08-26,182,1.5,1.91,2.04,31751.85,54592.58,2.9086,1.55,1.96,500.0,12.5,12.82,1.8,cbn_primary_market
2020-08-26,364,3.1999,3.4,3.39,145475.02,27000.0,2.0915,3.3499,3.55,500.0,12.5,12.82,3.34,cbn_primary_market
2020-09-09,364,3.34,3.1999,3.4,109651.7,145475.02,0.9236,3.49,3.3499,500.0,12.5,12.82,3.05,cbn_primary_market
2020-09-09,182,1.8,1.5,1.91,14002.52,31751.85,1.7754,1.85,1.55,500.0,12.5,12.82,1.55,cbn_primary_market
2020-09-09,91,1.145,1.2,1.2,4405.14,20372.79,1.5307,1.145,1.2,500.0,12.5,12.82,1.1,cbn_primary_market
2020-09-16,364,3.05,3.34,3.1999,148361.35,109651.7,2.1054,3.2,3.49,500.0,12.5,12.82,3.05,cbn_primary_market
2020-09-16,182,1.55,1.8,1.5,8385.2,14002.52,1.637,1.6,1.85,500.0,12.5,12.82,1.5,cbn_primary_market
2020-09-16,91,1.1,1.145,1.2,2000.0,4405.14,1.9568,1.1,1.145,500.0,12.5,12.82,1.09,cbn_primary_market
2020-09-30,91,1.09,1.1,1.145,10000.0,2000.0,1.9937,1.09,1.1,500.0,12.5,12.82,1.08,cbn_primary_market
2020-09-30,182,1.5,1.55,1.8,17600.58,8385.2,1.845,1.55,1.6,500.0,12.5,12.82,1.49,cbn_primary_market
2020-09-30,364,3.05,3.05,3.34,86370.5,148361.35,1.245,3.2,3.2,500.0,12.5,12.82,2.8,cbn_primary_market
2020-10-14,364,2.8,3.05,3.05,112535.64,86370.5,3.6737,2.95,3.2,500.0,12.5,14.23,2.0,cbn_primary_market
2020-10-14,182,1.49,1.5,1.55,3500.0,17600.58,1.0911,1.54,1.55,500.0,12.5,14.23,1.0,cbn_primary_market
2020-10-14,91,1.08,1.09,1.1,8849.03,10000.0,1.1766,1.08,1.09,500.0,12.5,14.23,1.0,cbn_primary_market
2020-10-28,364,2.0,2.8,3.05,93915.15,112535.64,4.8014,2.15,2.95,500.0,12.5,14.23,0.98,cbn_primary_market
2020-10-28,182,1.0,1.49,1.5,10615.4,3500.0,12.7812,1.05,1.54,500.0,12.5,14.23,0.5,cbn_primary_market
2020-10-28,91,1.0,1.08,1.09,49839.65,8849.03,3.7333,1.0,1.08,500.0,12.5,14.23,0.341,cbn_primary_market
2020-11-11,364,0.98,2.0,2.8,107938.48,93915.15,7.3999,1.13,2.15,500.0,12.5,14.23,0.3,cbn_primary_market
2020-11-11,91,0.341,1.0,1.08,19783.59,49839.65,1.7032,0.341,1.0,500.0,12.5,14.23,0.035,cbn_primary_market
2020-11-11,182,0.5,1.0,1.49,40093.99,10615.4,3.9227,0.55,1.05,500.0,12.5,14.23,0.15,cbn_primary_market
2020-11-25,182,0.15,0.5,1.0,19157.66,40093.99,2.299,0.2,0.55,500.0,12.5,14.23,0.09,cbn_primary_market
2020-11-25,364,0.3,0.98,2.0,111071.72,107938.48,3.8086,0.45,1.13,500.0,12.5,14.23,0.15,cbn_primary_market
2020-11-25,91,0.035,0.341,1.0,20372.79,19783.59,5.0474,0.035,0.341,500.0,12.5,14.23,0.0215,cbn_primary_market
2020-12-16,182,0.09,0.15,0.5,2000.0,19157.66,2.8607,0.14,0.2,500.0,12.5,14.23,0.5,cbn_primary_market
2020-12-16,364,0.15,0.3,0.98,3000.0,111071.72,3.0056,0.3,0.45,500.0,12.5,14.23,1.139,cbn_primary_market
2020-12-16,91,0.0215,0.035,0.341,2000.0,20372.79,2.8125,0.0215,0.035,500.0,12.5,14.23,0.048,cbn_primary_market
2020-12-30,182,0.5,0.09,0.15,20000.0,2000.0,5.1334,0.55,0.14,500.0,12.5,14.23,0.5,cbn_primary_market
2020-12-30,364,1.139,0.15,0.3,44837.72,3000.0,31.0154,1.289,0.3,500.0,12.5,14.23,1.21,cbn_primary_market
2020-12-30,91,0.048,0.0215,0.035,10000.0,2000.0,9.1067,0.048,0.0215,500.0,12.5,14.23,0.035,cbn_primary_market
2021-01-13,364,1.21,1.139,0.15,193000.0,44837.72,2.4972,1.36,1.289,700.0,11.5,15.75,1.5,cbn_primary_market
2021-01-13,91,0.035,0.048,0.0215,12761.13,10000.0,3.0555,0.035,0.048,700.0,11.5,15.75,0.5,cbn_primary_market
2021-01-13,182,0.5,0.5,0.09,26600.0,20000.0,1.445,0.55,0.55,700.0,11.5,15.75,1.0,cbn_primary_market
2021-01-27,364,1.5,1.21,1.139,125203.92,193000.0,1.2017,1.65,1.36,700.0,11.5,15.75,2.0,cbn_primary_market
2021-01-27,182,1.0,0.5,0.5,54592.58,26600.0,1.1514,1.05,0.55,700.0,11.5,15.75,1.3,cbn_primary_market
2021-01-27,91,0.5,0.035,0.048,7500.0,12761.13,1.8472,0.5,0.035,700.0,11.5,15.75,0.55,cbn_primary_market
2021-02-10,364,2.0,1.5,1.21,140000.0,125203.92,1.7048,2.15,1.65,700.0,11.5,15.75,4.0,cbn_primary_market
2021-02-10,182,1.3,1.0,0.5,10000.0,54592.58,1.0255,1.35,1.05,700.0,11.5,15.75,2.0,cbn_primary_market
2021-02-10,91,0.55,0.5,0.035,19783.59,7500.0,2.6908,0.55,0.5,700.0,11.5,15.75,1.0,cbn_primary_market
2021-02-24,91,1.0,0.55,0.5,20372.79,19783.59,1.5477,1.0,0.55,700.0,11.5,15.75,2.0,cbn_primary_market
2021-02-24,364,4.0,2.0,1.5,51995.03,140000.0,1.0442,4.15,2.15,700.0,11.5,15.75,5.5,cbn_primary_market
2021-02-24,182,2.0,1.3,1.0,55850.0,10000.0,2.1891,2.05,1.35,700.0,11.5,15.75,3.5,cbn_primary_market
2021-03-10,364,5.5,4.0,2.0,70501.22,51995.03,2.3929,5.65,4.15,700.0,11.5,15.75,6.5,cbn_primary_market
2021-03-10,91,2.0,1.0,0.55,4405.14,20372.79,1.0,2.0,1.0,700.0,11.5,15.75,2.0,cbn_primary_market
2021-03-10,182,3.5,2.0,1.3,14002.52,55850.0,0.7172,3.55,2.05,700.0,11.5,15.75,3.5,cbn_primary_market
2021-03-17,364,6.5,5.5,4.0,37176.06,70501.22,1.7793,6.65,5.65,700.0,11.5,15.75,7.0,cbn_primary_market
2021-03-17,182,3.5,3.5,2.0,8385.2,14002.52,3.7868,3.55,3.55,700.0,11.5,15.75,3.5,cbn_primary_market
2021-03-17,182,3.5,3.5,3.5,8385.2,8385.2,1.2679,3.55,3.55,700.0,11.5,15.75,3.5,cbn_primary_market
2021-03-17,91,2.0,2.0,1.0,1500.0,4405.14,4.1737,2.0,2.0,700.0,11.5,15.75,2.0,cbn_primary_market
2021-04-14,182,3.5,3.5,3.5,45020.89,8385.2,1.2679,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-04-14,91,2.0,2.0,2.0,15915.25,1500.0,4.4865,2.0,2.0,700.0,11.5,18.12,2.0,cbn_primary_market
2021-04-14,364,7.0,6.5,5.5,491410.3,37176.06,2.6762,7.15,6.65,700.0,11.5,18.12,9.0,cbn_primary_market
2021-04-28,182,3.5,3.5,3.5,6000.0,45020.89,0.3096,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-04-28,91,2.0,2.0,2.0,11388.76,15915.25,0.9972,2.0,2.0,700.0,11.5,18.12,2.0,cbn_primary_market
2021-04-28,364,9.0,7.0,6.5,7100.07,491410.3,0.4428,9.15,7.15,700.0,11.5,18.12,9.75,cbn_primary_market
2021-05-14,182,3.5,3.5,3.5,10000.0,6000.0,15.0867,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-05-14,364,9.75,9.0,7.0,82886.67,7100.07,0.3141,9.9,9.15,700.0,11.5,18.12,9.75,cbn_primary_market
2021-05-14,91,2.0,2.0,2.0,24670.42,11388.76,0.9249,2.0,2.0,700.0,11.5,18.12,2.5,cbn_primary_market
2021-05-26,364,9.75,9.75,9.0,19842.35,82886.67,2.5465,9.9,9.9,700.0,11.5,18.12,9.65,cbn_primary_market
2021-05-26,91,2.5,2.0,2.0,24175.79,24670.42,0.3621,2.5,2.0,700.0,11.5,18.12,2.5,cbn_primary_market
2021-05-26,182,3.5,3.5,3.5,19157.66,10000.0,1.0893,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-06-09,364,9.65,9.75,9.75,78714.78,19842.35,14.437,9.8,9.9,700.0,11.5,18.12,9.64,cbn_primary_market
2021-06-09,91,2.5,2.5,2.0,4744.29,24175.79,0.1833,2.5,2.5,700.0,11.5,18.12,2.5,cbn_primary_market
2021-06-09,182,3.5,3.5,3.5,11702.15,19157.66,0.2885,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-06-16,91,2.5,2.5,2.5,2523.74,4744.29,1.4462,2.5,2.5,700.0,11.5,18.12,2.5,cbn_primary_market
2021-06-16,182,3.5,3.5,3.5,1700.0,11702.15,1.0,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-06-16,364,9.64,9.65,9.75,10614.1,78714.78,3.919,9.79,9.8,700.0,11.5,18.12,9.4,cbn_primary_market
2021-06-30,182,3.5,3.5,3.5,20000.0,1700.0,1.552,3.55,3.55,700.0,11.5,18.12,3.5,cbn_primary_market
2021-06-30,364,9.4,9.64,9.65,58857.01,10614.1,24.9411,9.55,9.79,700.0,11.5,18.12,9.15,cbn_primary_market
2021-06-30,91,2.5,2.5,2.5,2878.85,2523.74,5.6951,2.5,2.5,700.0,11.5,18.12,2.5,cbn_primary_market
2021-07-14,182,3.5,3.5,3.5,25372.32,20000.0,0.2563,3.55,3.55,700.0,11.5,17.38,3.5,cbn_primary_market
2021-07-14,364,9.15,9.4,9.64,71598.13,58857.01,7.4052,9.3,9.55,700.0,11.5,17.38,8.67,cbn_primary_market
2021-07-14,91,2.5,2.5,2.5,52390.06,2878.85,1.7456,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-07-28,182,3.5,3.5,3.5,47476.89,25372.32,0.4658,3.55,3.55,700.0,11.5,17.38,3.5,cbn_primary_market
2021-07-28,364,8.67,9.15,9.4,161522.57,71598.13,7.7679,8.82,9.3,700.0,11.5,17.38,8.2,cbn_primary_market
2021-07-28,91,2.5,2.5,2.5,7193.23,52390.06,0.1278,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-08-11,364,8.2,8.67,9.15,27000.0,161522.57,2.7259,8.35,8.82,700.0,11.5,17.38,7.35,cbn_primary_market
2021-08-11,182,3.5,3.5,3.5,16056.99,47476.89,0.1773,3.55,3.55,700.0,11.5,17.38,3.5,cbn_primary_market
2021-08-25,182,3.5,3.5,3.5,32705.31,16056.99,0.3178,3.55,3.55,700.0,11.5,17.38,3.5,cbn_primary_market
2021-08-25,364,7.35,8.2,8.67,121376.87,27000.0,14.3379,7.5,8.35,700.0,11.5,17.38,6.8,cbn_primary_market
2021-08-25,91,2.5,2.5,2.5,3123.98,7193.23,0.5875,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-09-08,182,3.5,3.5,3.5,23454.54,32705.31,0.739,3.55,3.55,700.0,11.5,17.38,3.4999,cbn_primary_market
2021-09-08,364,6.8,7.35,8.2,109651.7,121376.87,3.008,6.95,7.5,700.0,11.5,17.38,7.2,cbn_primary_market
2021-09-08,91,2.5,2.5,2.5,5060.52,3123.98,1.5506,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-09-15,182,3.4999,3.5,3.5,5913.19,23454.54,0.5432,3.5499,3.55,700.0,11.5,17.38,3.5,cbn_primary_market
2021-09-15,364,7.2,6.8,7.35,148361.35,109651.7,2.1663,7.35,6.95,700.0,11.5,17.38,7.2,cbn_primary_market
2021-09-15,91,2.5,2.5,2.5,1605.54,5060.52,1.1553,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-09-29,182,3.5,3.4999,3.5,3240.39,5913.19,0.7471,3.55,3.5499,700.0,11.5,17.38,3.4999,cbn_primary_market
2021-09-29,91,2.5,2.5,2.5,2263.04,1605.54,1.1738,2.5,2.5,700.0,11.5,17.38,2.5,cbn_primary_market
2021-09-29,364,7.2,7.2,6.8,106370.5,148361.35,1.606,7.35,7.35,700.0,11.5,17.38,7.5,cbn_primary_market
2021-10-13,182,3.4999,3.5,3.4999,8799.75,3240.39,0.9097,3.5499,3.55,700.0,11.5,15.99,3.5,cbn_primary_market
2021-10-13,364,7.5,7.2,7.2,107620.66,106370.5,1.5636,7.65,7.35,700.0,11.5,15.99,7.25,cbn_primary_market
2021-10-13,91,2.5,2.5,2.5,5239.06,2263.04,2.4169,2.5,2.5,700.0,11.5,15.99,2.5,cbn_primary_market
2021-10-27,182,3.5,3.4999,3.5,6000.0,8799.75,0.8869,3.55,3.5499,700.0,11.5,15.99,3.5,cbn_primary_market
2021-10-27,364,7.25,7.5,7.2,140870.2,107620.66,4.4615,7.4,7.65,700.0,11.5,15.99,6.99,cbn_primary_market
2021-10-27,91,2.5,2.5,2.5,3174.99,5239.06,0.9692,2.5,2.5,700.0,11.5,15.99,2.5,cbn_primary_market
2021-11-10,182,3.5,3.5,3.4999,7987.29,6000.0,0.5541,3.55,3.55,700.0,11.5,15.99,3.5,cbn_primary_market
2021-11-10,364,6.99,7.25,7.5,138032.47,140870.2,3.0085,7.14,7.4,700.0,11.5,15.99,6.5,cbn_primary_market
2021-11-10,91,2.5,2.5,2.5,4803.4,3174.99,1.257,2.5,2.5,700.0,11.5,15.99,2.5,cbn_primary_market
2021-11-24,182,3.5,3.5,3.5,4118.56,7987.29,0.4763,3.55,3.55,700.0,11.5,15.99,3.5,cbn_primary_market
2021-11-24,91,2.5,2.5,2.5,3537.95,4803.4,1.0143,2.5,2.5,700.0,11.5,15.99,2.5,cbn_primary_market
2021-11-24,364,6.5,6.99,7.25,111071.72,138032.47,4.102,6.65,7.14,700.0,11.5,15.99,5.89,cbn_primary_market
2021-12-08,182,3.5,3.5,3.5,10094.15,4118.56,1.04,3.55,3.55,700.0,11.5,15.99,3.45,cbn_primary_market
2021-12-08,91,2.5,2.5,2.5,4938.37,3537.95,2.5564,2.5,2.5,700.0,11.5,15.99,2.5,cbn_primary_market
2021-12-08,364,5.89,6.5,6.99,38700.0,111071.72,3.6278,6.04,6.65,700.0,11.5,15.99,5.34,cbn_primary_market
2021-12-15,182,3.45,3.5,3.5,1101.95,10094.15,0.1797,3.5,3.55,700.0,11.5,15.99,3.45,cbn_primary_market
2021-12-15,91,2.5,2.5,2.5,960.66,4938.37,0.3864,2.5,2.5,700.0,11.5,15.99,2.49,cbn_primary_market
2021-12-15,364,5.34,5.89,6.5,3800.0,38700.0,6.2204,5.49,6.04,700.0,11.5,15.99,5.0,cbn_primary_market
2021-12-29,364,5.0,5.34,5.89,44837.72,3800.0,16.6649,5.15,5.49,700.0,11.5,15.99,4.9,cbn_primary_market
2021-12-29,182,3.45,3.45,3.5,3314.96,1101.95,2.1407,3.5,3.5,700.0,11.5,15.99,3.45,cbn_primary_market
2022-01-12,182,3.45,3.45,3.45,7459.98,3314.96,1.0467,3.5,3.5,800.0,11.5,15.6,3.44,cbn_primary_market
2022-01-12,364,4.9,5.0,5.34,65931.72,44837.72,1.6949,5.05,5.15,800.0,11.5,15.6,5.5,cbn_primary_market
2022-01-26,182,3.44,3.45,3.45,3536.2,7459.98,0.3035,3.49,3.5,800.0,11.5,15.6,3.3,cbn_primary_market
2022-01-26,364,5.5,4.9,5.0,123113.74,65931.72,1.6427,5.65,5.05,800.0,11.5,15.6,5.399,cbn_primary_market
2022-02-09,91,2.49,2.5,2.5,4116.9,960.66,1.8158,2.49,2.5,800.0,11.5,15.6,2.48,cbn_primary_market
2022-02-09,364,5.399,5.5,4.9,90148.21,123113.74,3.6466,5.549,5.65,800.0,11.5,15.6,5.2,cbn_primary_market
2022-02-09,182,3.3,3.44,3.45,3745.69,3536.2,3.9566,3.35,3.49,800.0,11.5,15.6,3.3,cbn_primary_market
2022-02-23,364,5.2,5.399,5.5,90376.12,90148.21,4.8977,5.35,5.549,800.0,11.5,15.6,4.35,cbn_primary_market
2022-02-23,91,2.48,2.49,2.5,2044.42,4116.9,0.5263,2.48,2.49,800.0,11.5,15.6,2.24,cbn_primary_market
2022-02-23,182,3.3,3.3,3.44,22864.25,3745.69,0.7011,3.35,3.35,800.0,11.5,15.6,3.3,cbn_primary_market
2022-03-09,364,4.35,5.2,5.399,80570.6,90376.12,6.3601,4.5,5.35,800.0,11.5,15.6,4.1,cbn_primary_market
2022-03-09,182,3.3,3.3,3.3,11883.0,22864.25,0.6367,3.35,3.35,800.0,11.5,15.6,3.28,cbn_primary_market
